# test name,category,real vulnerability,CWE
# Rust SAST Benchmark v0.5.0
# 1252 test cases (625 TP, 627 TN), 25 categories, 4 frameworks (actix-web, axum, rocket, warp)
cmdiBackendShellExec,cmdi,true,78
cmdiExecuteAllowedCommand,cmdi,true,78
cmdiExecuteAllowedCommand2,cmdi,false,78
cmdiExecuteCommand,cmdi,true,78
cmdiExecuteCommand2,cmdi,false,78
cmdiExecuteInDirectory,cmdi,true,78
cmdiExecuteInDirectory2,cmdi,false,78
cmdiExecuteShellCommand,cmdi,true,78
cmdiExecuteShellCommand2,cmdi,false,78
cmdiJobqueueExportSql,cmdi,true,78
cmdiJobqueueImportSql,cmdi,true,78
cmdiRocketListFiles,cmdi,true,78
cmdiRunCommandWithArg,cmdi,true,78
cmdiRunCommandWithArg2,cmdi,false,78
cmdiWarpExecuteCommand,cmdi,true,78
cmdiWarpSearchFiles,cmdi,true,78
cryptoBackendWeakCrypto,crypto,true,327
cryptoJobqueueArgon2Password,crypto,false,327
cryptoJobqueueJwtHs256,crypto,false,347
cryptoJobqueueJwtNone,crypto,true,347
cryptoJobqueueMd5Password,crypto,true,327
cryptoRocketArgon2Login,crypto,false,327
cryptoRocketMd5Login,crypto,true,327
cryptoWarpSha1Hash,crypto,true,327
cryptoWarpSha256Hash,crypto,false,327
deserBackendDangerousDeserialize,deserial,true,502
deserBackendDeserialize,deserial,false,502
deserBackendUnsafeDeserialize,deserial,true,502
infodisclosureBackendGetEnv,infodisclosure,true,200
infodisclosureCalorieJwtSecret,hardcodedcreds,true,798
infodisclosureJobqueueErrorSql,infodisclosure,true,209
infodisclosureJobqueueLogParams,infodisclosure,true,532
infodisclosurePaymentsHardcodedKey,hardcodedcreds,true,798
inputvalPaymentsMissingValidation,inputval,true,20
intoverflowBackendCheckedArithmetic,intoverflow,false,190
intoverflowBackendOverflow,intoverflow,true,190
intoverflowBackendUncheckedArithmetic,intoverflow,true,190
memsafetyBackendBufferAlloc,memsafety,true,119
memsafetyBackendBufferOverflow,memsafety,true,119
memsafetyBackendMemoryCorruption,memsafety,true,119
memsafetyCopyMemory,memsafety,false,119
memsafetyReadFromOffset,memsafety,false,119
memsafetySecureZero,memsafety,false,119
memsafetySliceFromRawParts,memsafety,true,119
memsafetyTransmute,memsafety,true,119
memsafetyUncheckedAccess,memsafety,true,119
memsafetyWriteToAddress,memsafety,true,119
memsafetyWriteToBuffer,memsafety,false,119
pathtraverBackendIncludeFile,pathtraver,true,22
pathtraverBackendUploadFile,pathtraver,true,22
pathtraverDeleteFile,pathtraver,true,22
pathtraverJobqueueCreateBackup,pathtraver,true,22
pathtraverJobqueueDeleteBackup,pathtraver,true,22
pathtraverJobqueueRestoreBackup,pathtraver,true,22
pathtraverProcessUpload,pathtraver,true,22
pathtraverProcessUpload2,pathtraver,false,22
pathtraverReadFile,pathtraver,true,22
pathtraverRocketReadFile,pathtraver,true,22
pathtraverWarpReadFile,pathtraver,true,22
pathtraverWriteFile,pathtraver,true,22
redosBackendRegexDos,redos,true,1333
redosBackendRegex,redos,false,1333
sqliBackendRawSql,sqli,false,89
sqliCalorieCreateUser,sqli,false,89
sqliCalorieCreateWorkout,sqli,false,89
sqliCalorieDeleteWorkout,sqli,false,89
sqliCalorieFindByEmail,sqli,false,89
sqliCalorieSearchMeals,sqli,false,89
sqliCalorieSearchWorkouts,sqli,true,89
sqliCalorieUpdateMeal,sqli,false,89
sqliCalorieUpdateSchedule,sqli,true,89
sqliCalorieUpdateUser,sqli,false,89
sqliCalorieUpdateWorkout,sqli,true,89
sqliCalorieUpsertSchedule,sqli,false,89
sqliCreateUser,sqli,false,89
sqliExecuteRawSql,sqli,true,89
sqliFindUserByEmail,sqli,true,89
sqliGetUserById,sqli,false,89
sqliJobqueueBuildSearch,sqli,true,89
sqliJobqueueExecuteRaw,sqli,true,89
sqliJobqueueGetJobsByTag,sqli,true,89
sqliJobqueueHandlerExecuteSql,sqli,true,89
sqliJobqueueHandlerSearch,sqli,true,89
sqliJobqueueListOrdered,sqli,true,89
sqliJobqueueSearchJobs,sqli,true,89
sqliRocketCookieProfile,sqli,true,89
sqliRocketCreateUser,sqli,false,89
sqliRocketGetUser2,sqli,false,89
sqliRocketGetUser,sqli,true,89
sqliRusqliteDelete,sqli,true,89
sqliRusqliteGetUser,sqli,false,89
sqliRusqliteSearch,sqli,true,89
sqliSearchElasticsearchInjection,sqli,true,89
sqliSearchUsers,sqli,true,89
sqliWarpCookieProfile,sqli,true,89
sqliWarpCreateUser,sqli,false,89
sqliWarpGetUser2,sqli,false,89
sqliWarpGetUser,sqli,true,89
ssrfConnectTcp,ssrf,true,918
ssrfConnectTcp2,ssrf,false,918
ssrfFetchExternalOnly,ssrf,true,918
ssrfFetchExternalOnly2,ssrf,false,918
ssrfFetchUrl,ssrf,true,918
ssrfFetchUrl2,ssrf,false,918
ssrfPostToUrl,ssrf,true,918
ssrfPostToUrl2,ssrf,false,918
ssrfRocketFetchUrl,ssrf,true,918
ssrfSendWebhook,ssrf,true,918
ssrfSendWebhook2,ssrf,false,918
ssrfWarpFetchUrl,ssrf,true,918
weakrandJobqueueApiKey,weakrand,true,330
weakrandJobqueueApiKey2,weakrand,false,330
weakrandJobqueueRequestId,weakrand,true,330
weakrandJobqueueToken,weakrand,true,330
weakrandJobqueueToken2,weakrand,false,330
xssRocketGreet2,xss,false,79
xssRocketGreet,xss,true,79
xssWarpEchoHeader,xss,true,79
xssWarpEchoHeader2,xss,false,79
# M4: Standalone testcode/ test cases (10)
testcodeCmdi001,cmdi,true,78
testcodeCmdi002,cmdi,false,78
testcodeCrypto001,crypto,true,327
testcodeCrypto002,crypto,false,327
testcodePathtraver001,pathtraver,true,22
testcodePathtraver002,pathtraver,false,22
testcodeSqli001,sqli,true,89
testcodeSqli002,sqli,false,89
testcodeXss001,xss,true,79
testcodeXss002,xss,false,79
# M5 Batch 1: infodisclosure + inputval + redos (28)
testcodeInfodisclosure001,infodisclosure,true,209
testcodeInfodisclosure002,infodisclosure,true,200
testcodeInfodisclosure003,infodisclosure,true,200
testcodeInfodisclosure004,infodisclosure,false,209
testcodeInfodisclosure005,infodisclosure,false,200
testcodeInfodisclosure006,infodisclosure,false,209
testcodeInfodisclosure007,infodisclosure,false,532
testcodeInfodisclosure008,infodisclosure,false,200
testcodeInfodisclosure009,infodisclosure,false,209
testcodeInfodisclosure010,infodisclosure,false,209
testcodeInfodisclosure011,infodisclosure,false,200
testcodeInputval001,inputval,true,20
testcodeInputval002,inputval,true,20
testcodeInputval003,inputval,true,20
testcodeInputval004,inputval,false,20
testcodeInputval005,inputval,false,20
testcodeInputval006,inputval,false,20
testcodeInputval007,inputval,false,20
